ANOENC,CPRO,ZONAUR,NMIEMB,NMIEM3,NMIEM4,NMIEM7,UC1,UC2,TIPHOGAR_9,TIPHOGAR_10,TIPHOGAR_11,NUMACTI,NUMOCUP,NUMESTU,SITUOCU_HOG,SITUACT_HOG,SEXOSP,NACIONASP,ECIVILSP,UNIONSP,ESTUDIOS_SP,SITUACT_SP,JORNADASP,IMPEXACPSP,INTERINPSP,SITPROF,SECTOR,TIPOCONT,SITSOCI,SITSOCI_RE,REGTEN,TIPOEDIF,ZONARES,TIPOCASA,NHABIT,ANNOCON,SUPERF,AGUACALI,FUENAGUA,CALEF,FUENCALE,PAGAGC,GC_AGUAFRI,ALQAGFRI,FUENPRIN,IMPEXAC,IMPUEXAC,INTERIN,IMPU_INTER,NUMPERI,CODIGO,GASTO,FACTOR,QAGUA,EDAD_SP,numero_HOGAR,vivienda,HOGAR
2006,01,2,01,00,01,00,1,1,1,1,1,01,01,00,-9,-9,1,,1,,8,1,,,,3,-9,-9,5,3,2,1,7,1,07,6,240,1,4,1,4,6,,,1,2617,1,06,6,01,04411,124624.7,778.90435,160.0000051,1,0,0,0
2006,48,2,06,00,06,01,4.5,3.5,6,5,5,03,03,01,4,4,1,,2,,6,1,,,,1,6,1,3,1,1,1,7,1,10,6,200,1,5,1,4,6,,,2,2720,1,06,6,04,04411,164485.53,750.253299,219.2399956,2,0,0,0
2006,01,1,03,01,02,01,2.4,2,5,4,4,02,01,00,5,2,1,,2,,6,1,,,,1,1,1,2,2,1,4,3,2,05,1,095,1,1,1,1,1,6,,2,1711,1,04,6,01,04411,20885.75,241.90116,86.3400159,2,0,0,0
2006,48,2,04,00,04,00,3.1,2.5,3,6,6,02,02,00,2,2,1,,2,,3,1,,,,1,6,1,3,1,1,2,7,1,07,6,-9,1,2,6,,6,,,1,4440,1,07,6,04,04411,61201.76,452.274344,135.3199906,2,0,0,0
2006,01,1,02,01,01,01,1.7,1.5,4,2,2,01,01,00,-9,-9,6,,3,,3,1,,,,1,6,1,3,1,1,3,3,2,05,1,086,1,2,1,2,1,6,,2,1463,1,03,6,-9,04411,16639.47,385.172811,43.20001185,2,0,0,0
2006,20,1,04,02,02,02,2.7,2.1,5,4,4,01,01,00,5,5,1,,1,,4,1,,,,1,6,1,4,2,1,4,3,2,04,6,065,1,2,1,2,1,6,,2,1093,1,03,6,01,04411,34747.7,372.669478,93.23999429,2,0,0,0
2006,48,2,02,01,01,01,1.5,1.3,4,2,2,01,01,00,-9,-9,6,,4,,3,1,,,,1,6,2,3,1,2,4,7,2,04,1,080,1,3,1,3,1,6,,2,400,6,01,6,01,04411,31202.33,271.607985,114.8800172,1,0,0,0
2006,01,1,04,00,04,01,3.1,2.5,6,5,5,02,02,01,3,3,1,,2,,6,1,,,,1,6,1,3,1,2,2,2,1,06,1,141,1,2,1,2,6,,,2,1626,1,04,6,01,04411,33979.68,472.202276,71.96000893,3,0,0,0
2006,48,2,04,02,02,02,2.7,2.1,5,4,4,02,02,00,2,2,1,,2,,4,1,,,,1,1,1,2,2,2,4,7,2,05,6,090,1,2,1,2,1,6,,2,2400,6,05,6,02,04411,55434.43,365.469611,151.6799984,2,0,0,0
2006,01,1,01,00,01,00,1,1,1,1,1,00,00,00,8,8,6,,3,,2,6,,,,,,,10,6,3,3,3,3,05,1,080,1,2,1,2,1,6,6,3,692,1,02,6,01,04411,42568.28,591.554776,71.95999716,3,0,0,0
2006,48,2,04,00,04,00,3.1,2.5,3,6,6,02,02,00,7,7,1,,2,,2,4,,,,3,-9,-9,8,5,1,1,7,1,07,6,140,1,3,1,3,6,,,3,3117,1,07,6,03,04411,47312.78,555.314281,85.20000587,3,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,6,,1,,5,1,,,,1,1,2,1,1,1,4,3,2,04,6,080,1,2,1,2,1,6,,2,2386,1,05,6,02,04411,39667.02,412.682268,96.12000097,2,0,0,0
2006,01,2,03,01,02,01,2.2,1.8,5,4,4,02,02,00,2,2,6,,1,,6,1,,,,1,6,1,3,1,6,1,7,2,01,6,046,1,1,1,5,6,,,2,784,1,02,6,01,04411,21428.34,357.138984,60.00000269,1,0,0,0
2006,48,2,04,02,02,02,2.7,2.1,5,4,4,01,01,00,5,5,1,,2,,3,2,,,,1,6,1,3,1,2,4,7,2,05,6,082,1,3,1,3,1,6,,2,1217,1,03,6,01,04411,26722.5,265.156736,100.7800156,2,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,6,6,01,00,00,8,-9,1,,1,,6,7,,,,,,,10,6,3,4,3,3,04,1,065,1,2,1,2,1,6,6,3,1420,6,03,6,01,04411,14435.98,429.64232,33.59999546,2,0,0,0
2006,20,1,03,01,02,02,2.2,1.8,4,2,2,01,01,01,-9,-9,6,,5,,5,1,,,,1,1,1,1,1,2,4,3,2,05,6,078,1,2,1,2,1,6,,2,1743,1,04,6,01,04411,23368.23,243.115165,96.1200014,2,0,0,0
2006,48,2,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,1,,2,,6,1,,,,1,6,1,4,2,2,4,7,2,04,1,060,1,3,1,3,1,6,,2,1952,1,04,6,02,04411,49760.77,372.01535,133.7599914,2,0,0,0
2006,01,1,04,02,02,02,2.7,2.1,5,4,4,02,02,00,2,2,1,,2,,5,1,,,,1,6,1,4,2,2,2,3,2,09,1,190,1,2,1,2,1,6,,2,2144,1,05,6,02,04411,10198.39,217.914313,46.8000007,2,0,0,0
2006,01,1,03,01,02,01,2.2,1.8,5,4,4,02,01,00,5,2,1,,2,,2,1,,,,1,6,1,3,1,2,3,3,3,05,6,070,1,2,1,2,1,6,,2,943,1,02,6,01,04411,27188.31,377.825343,71.95999555,2,0,0,0
2006,01,1,04,01,03,02,2.9,2.3,5,4,4,01,01,01,5,5,1,,2,,2,1,,,,1,6,1,3,1,3,3,4,3,04,6,070,1,3,1,1,1,6,6,2,1350,1,03,6,01,04411,17383.48,426.065597,40.80000855,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,1,,3,,5,4,,,,1,6,1,8,5,1,4,3,2,03,6,085,1,2,1,2,1,6,,3,2463,1,05,6,02,04411,54075.96,420.628158,128.5600095,3,0,0,0
2006,48,2,04,00,04,01,3.1,2.5,6,5,5,03,03,01,1,1,1,,2,,3,1,,,,1,6,1,3,1,1,4,7,2,05,6,090,1,2,1,2,1,6,,2,1427,1,03,6,04,04411,80788.57,466.877978,173.04001,2,0,0,0
2006,01,2,05,00,05,01,3.8,3,6,5,5,03,01,01,5,4,1,,2,,2,1,,,,2,-9,-9,5,3,2,1,7,1,06,1,130,1,4,1,4,6,,,1,1763,1,04,6,01,04411,58868.29,613.467002,95.95999428,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,3,4,,,,1,6,1,8,5,1,3,3,2,04,6,090,1,2,1,2,1,6,,3,1274,1,03,6,01,04411,42296.7,388.756453,108.7999946,3,0,0,0
2006,01,2,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,1,,2,,8,1,,,,1,1,1,2,2,2,1,7,1,06,6,300,1,4,1,4,6,,,2,5416,1,08,6,-9,04411,18877.31,406.750916,46.40999997,3,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,1,,4,,2,1,,,,2,-9,-9,5,3,2,3,3,3,05,6,050,1,2,1,2,1,6,,1,2151,1,05,6,02,04411,11110.09,330.657461,33.59999791,2,0,0,0
