"IDRow","ID","consent","country","year","Block","ChoiceQuestion","Choice","ChoiceSum","alt1attr1hh2","alt1attr1hh3","alt1attr2coast2","alt1attr2coast3","alt1attr3cost","alt1attr4perk1","alt1attr4perk2","alt2attr1hh2","alt2attr1hh3","alt2attr2coast2","alt2attr2coast3","alt2attr3cost","alt2attr4perk1","alt2attr4perk2","alt3attr1hh2","alt3attr1hh3","alt3attr2coast2","alt3attr2coast3","alt3attr3cost","alt3attr4perk1","alt3attr4perk2","env1","env2","env3","env4","env5","env6","env7","pay_elecbill","marital_status","num_adults","num_children","education","economic_status","distance_coast","buy_green_energy","ideo","income","duration_mins","too_short","age","completed","female","England","NI","Scotland","Double_id"
"651",651,66,1,1,1996,1,1,1,17,0,0,0,1,50,0,0,0,1,0,1,150,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"652",652,66,1,1,1996,1,2,3,17,1,0,1,0,100,0,1,0,0,0,0,100,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"653",653,66,1,1,1996,1,3,1,17,0,1,0,0,20,0,1,1,0,1,0,10,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"654",654,66,1,1,1996,1,4,2,17,0,0,0,0,100,1,0,0,1,1,0,100,0,1,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"655",655,66,1,1,1996,1,5,3,17,1,0,0,0,100,1,0,0,0,0,1,50,0,1,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"656",656,66,1,1,1996,1,6,1,17,0,0,0,0,50,0,0,0,1,0,1,10,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"657",657,66,1,1,1996,1,7,2,17,0,1,1,0,50,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"658",658,66,1,1,1996,1,8,1,17,1,0,0,1,150,0,1,0,0,1,0,100,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"659",659,66,1,1,1996,1,9,2,17,0,0,0,0,10,0,1,0,1,1,0,100,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
"660",660,66,1,1,1996,1,10,1,17,1,0,0,1,10,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,2,2,1,1,2,2,1,100,1,4,0,5,1,100,3,7,3,6.016666889,NA,21,1,0,1,0,0,NA
