"IDRow","ID","consent","country","year","Block","ChoiceQuestion","Choice","ChoiceSum","alt1attr1hh2","alt1attr1hh3","alt1attr2coast2","alt1attr2coast3","alt1attr3cost","alt1attr4perk1","alt1attr4perk2","alt2attr1hh2","alt2attr1hh3","alt2attr2coast2","alt2attr2coast3","alt2attr3cost","alt2attr4perk1","alt2attr4perk2","alt3attr1hh2","alt3attr1hh3","alt3attr2coast2","alt3attr2coast3","alt3attr3cost","alt3attr4perk1","alt3attr4perk2","env1","env2","env3","env4","env5","env6","env7","pay_elecbill","marital_status","num_adults","num_children","education","economic_status","distance_coast","buy_green_energy","ideo","income","duration_mins","too_short","age","completed","female","England","NI","Scotland","Double_id","cohabit","employed","higheduc","highincome","green"
"681",681,69,1,2,1987,1,1,2,20,0,0,0,1,50,0,0,0,1,0,1,150,0,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"682",682,69,1,2,1987,1,2,1,20,1,0,1,0,100,0,1,0,0,0,0,100,1,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"683",683,69,1,2,1987,1,3,3,20,0,1,0,0,20,0,1,1,0,1,0,10,1,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"684",684,69,1,2,1987,1,4,3,20,0,0,0,0,100,1,0,0,1,1,0,100,0,1,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"685",685,69,1,2,1987,1,5,3,20,1,0,0,0,100,1,0,0,0,0,1,50,0,1,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"686",686,69,1,2,1987,1,6,1,20,0,0,0,0,50,0,0,0,1,0,1,10,1,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"687",687,69,1,2,1987,1,7,2,20,0,1,1,0,50,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"688",688,69,1,2,1987,1,8,2,20,1,0,0,1,150,0,1,0,0,1,0,100,1,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"689",689,69,1,2,1987,1,9,1,20,0,0,0,0,10,0,1,0,1,1,0,100,1,0,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"690",690,69,1,2,1987,1,10,2,20,1,0,0,1,10,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,3,4,2,2,3,4,2,300,1,3,0,5,1,8,2,6,4,6.050000191,NA,30,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"741",741,75,1,2,1993,1,1,1,16,0,0,0,1,50,0,0,0,1,0,1,150,0,0,0,0,0,0,0,0,0,3,2,2,2,3,2,1,600,1,2,0,8,1,40,2,5,4,6.283333302,NA,24,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"742",742,75,1,2,1993,1,2,1,16,1,0,1,0,100,0,1,0,0,0,0,100,1,0,0,0,0,0,0,0,0,3,2,2,2,3,2,1,600,1,2,0,8,1,40,2,5,4,6.283333302,NA,24,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"743",743,75,1,2,1993,1,3,1,16,0,1,0,0,20,0,1,1,0,1,0,10,1,0,0,0,0,0,0,0,0,3,2,2,2,3,2,1,600,1,2,0,8,1,40,2,5,4,6.283333302,NA,24,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
"744",744,75,1,2,1993,1,4,1,16,0,0,0,0,100,1,0,0,1,1,0,100,0,1,0,0,0,0,0,0,0,3,2,2,2,3,2,1,600,1,2,0,8,1,40,2,5,4,6.283333302,NA,24,1,0,0,1,0,NA,FALSE,TRUE,TRUE,FALSE,FALSE
