"IDRow","ID","consent","country","year","Block","ChoiceQuestion","Choice","ChoiceSum","alt1attr1hh2","alt1attr1hh3","alt1attr2coast2","alt1attr2coast3","alt1attr3cost","alt1attr4perk1","alt1attr4perk2","alt2attr1hh2","alt2attr1hh3","alt2attr2coast2","alt2attr2coast3","alt2attr3cost","alt2attr4perk1","alt2attr4perk2","alt3attr1hh2","alt3attr1hh3","alt3attr2coast2","alt3attr2coast3","alt3attr3cost","alt3attr4perk1","alt3attr4perk2","env1","env2","env3","env4","env5","env6","env7","pay_elecbill","marital_status","num_adults","num_children","education","economic_status","distance_coast","buy_green_energy","ideo","income","duration_mins","too_short","age","completed","female","England","NI","Scotland","Double_id","cohabit","employed","higheduc","highincome","green"
"881",881,89,1,3,1998,1,1,1,12,0,0,0,1,50,0,0,0,1,0,1,150,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"882",882,89,1,3,1998,1,2,1,12,1,0,1,0,100,0,1,0,0,0,0,100,1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"883",883,89,1,3,1998,1,3,1,12,0,1,0,0,20,0,1,1,0,1,0,10,1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"884",884,89,1,3,1998,1,4,1,12,0,0,0,0,100,1,0,0,1,1,0,100,0,1,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"885",885,89,1,3,1998,1,5,1,12,1,0,0,0,100,1,0,0,0,0,1,50,0,1,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"886",886,89,1,3,1998,1,6,2,12,0,0,0,0,50,0,0,0,1,0,1,10,1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"887",887,89,1,3,1998,1,7,1,12,0,1,1,0,50,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"888",888,89,1,3,1998,1,8,2,12,1,0,0,1,150,0,1,0,0,1,0,100,1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"889",889,89,1,3,1998,1,9,1,12,0,0,0,0,10,0,1,0,1,1,0,100,1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
"890",890,89,1,3,1998,1,10,1,12,1,0,0,1,10,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2500,1,4,0,8,1,8,1,4,2,6.716666698,NA,19,1,0,0,0,1,NA,FALSE,TRUE,TRUE,FALSE,TRUE
