"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
48004251,15,"NORESTE","H1","3","PUBLICO","MREGIONAL","3","HOMBRE","ESPANOL","E0",0,"PRIMARIA",12,8,"PARCIAL","INDEFINIDO",0,0,25,0,9,1592,37,0,0,31,6,0,6,0,1895,0,0,543.62,0,487.72,130.33,2772.89,12,0,6,0,6,0,6,0,6,0,30723.29,3898.47,0,5,26.09,31,365,365,2438.62,2438.62,1820.57,30723.29,26824.82,160.95,15.151413482448,0,0,12.6666666666667,"BIZKAIA"
1001308,3,"NORESTE","C1","2","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","G0",0,"SECUNDARIA1",9,11,"PARCIAL","INDEFINIDO",0,0,0,30,0,1755,40,0,0,31,1,14,6,0,1301.58,0,0,0,0,49.07,86.24,1358.11,12,0,1,14,6,0,1,365,6,0,17809.03,2190.03,84,4,35.4,31,365,365,1301.58,1301.58,1166.27,17893.03,15619,174,7.48034482758621,1,1,9.91666666666667,"ARABA"
48001162,1,"NORESTE","H1","2","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","E0",1,"SECUNDARIA1",40,6,"COMPLETA","INDEFINIDO",0,0,22,0,0,1724,38,35,0,31,6,0,6,0,1328.06,0,0,2328.85,0,767.95,228.41,3597,12,0,6,0,6,0,6,0,6,0,50943.49,7036.17,315.45,5,46.38,31,365,365,3656.91,3656.91,2660.55,51258.94,43907.32,167.8375,21.7883965144857,0,0,40.5,"BIZKAIA"
20035109,2,"NORESTE","C3","4","PRIVADO","MUE","1","HOMBRE","ESPANOL","A0",1,"POSGRADO",8,0,"PARCIAL","INDEFINIDO",0,0,26,0,0,1684,35,0,0,31,6,0,6,0,5050,0,0,0,0,1272.6,169.06,3597,12,0,6,0,6,0,6,0,6,0,75515,15616,0,5,15.97,31,365,365,5050,5050,3608.34,75515,59899,152.25,33.1691297208539,0,0,8,"GIPUZKOA"
48056221,22,"NORESTE","G2","3","PRIVADO","MREGIONAL","1","HOMBRE","ESPANOL","G0",0,"SECUNDARIA2",9,9,"COMPLETA","INDEFINIDO",0,0,0,31,0,1798,40,0,0,31,6,0,6,0,1057.29,0,0,265.38,0.5,140.11,103.77,1634.26,12,0,6,0,6,0,6,0,6,0,17779.58,1976.3,1006.65,3,50.66,31,365,365,1322.67,1322.67,1078.79,18786.23,15803.28,174,7.60155172413793,0,0,9.75,"BIZKAIA"
48018755,6,"NORESTE","F0","1","PRIVADO","MNACIONAL","2","HOMBRE","ESPANOL","L0",0,"SECUNDARIA2",5,10,"COMPLETA","INDEFINIDO",0,0,0,30,0,1840,40,0,0,31,6,0,6,0,1502.11,0,0,0,0,135.19,95.38,1502.11,10,0,6,0,6,0,6,0,6,0,17195.22,0,0,2,15.32,31,304.2,304.2,1502.11,1502.11,1271.54,20632.0029585799,20632.0029585799,174,8.63281609195402,0,0,5.83333333333333,"BIZKAIA"
48008405,10,"NORESTE","C6","3","PRIVADO","MMUNDIAL","3","HOMBRE","ESPANOL","M0",0,"SECUNDARIA2",26,2,"PARCIAL","TEMPORAL",0,0,0,30,12,254,6,0,0,31,6,0,6,0,279.99,0,0,115.7,34.31,68.94,32.68,514.67,10,0,6,0,6,0,6,0,6,0,4734.29,929.814102564102,895.677843523997,6,22.52,31,304.2,304.2,395.69,395.69,294.07,6576.20332018409,4750.71137409599,26.1,15.1605363984674,0,0,26.1666666666667,"BIZKAIA"
48021016,1,"NORESTE","E0","3","PRIVADO","MREGIONAL","4","HOMBRE","ESPANOL","A0",1,"POSGRADO",3,5,"COMPLETA","INDEFINIDO",0,0,22,0,5,1712,40,0,0,31,6,0,6,0,1774.96,0,0,4260.73,0,989.93,228.41,3597,8,23,6,0,6,0,6,0,6,0,65894.3,17896.6477699354,0,4,12.05,31,266.36,266.36,6035.69,6035.69,4817.35,90296.6642889323,72400.0165189968,174,34.6878735632184,0,0,3.41666666666667,"BIZKAIA"
20034650,18,"NORESTE","P0","3","PUBLICO","MREGIONAL","3","MUJER","ESPANOL","B0",0,"GRADO",9,1,"PARCIAL","INDEFINIDO",0,0,0,31,0,1570,35,0,0,31,6,0,6,0,1422.01,0,0,82.58,0,195.24,111.43,1754.89,12,0,6,0,1,22,1,365,6,0,19601.27,2998.52288629738,0,3,30.98,9,365,343,1504.59,1504.59,1197.92,20858.4943148688,17859.9714285714,152.25,9.8823645320197,1,1,9.08333333333333,"GIPUZKOA"
20015586,4,"NORESTE","C7","2","PRIVADO","MNACIONAL","1","HOMBRE","ESPANOL","C0",0,"POSGRADO",4,5,"PARCIAL","TEMPORAL",0,0,26,0,3,1697,39,0,0,31,6,0,6,0,645.3,0,0,1940.4,0,413.71,194.27,3059.31,12,0,6,0,6,0,6,0,6,0,35886.36,4857.86,0,3,18.1,31,365,365,2585.7,2585.7,1977.72,35886.36,31028.5,169.65,15.2413793103448,0,0,4.41666666666667,"GIPUZKOA"
1010470,4,"NORESTE","F0","1","PRIVADO","MREGIONAL","1","HOMBRE","ESPANOL","L0",0,"FP",9,9,"PARCIAL","INDEFINIDO",0,0,0,30,0,1687,40,0,0,31,6,0,6,0,860.87,0,0,1652.53,50.88,172.79,126.94,1794.12,12,0,6,0,6,0,6,0,6,0,32544.33,2383.49,0,5,15.86,31,365,365,2513.4,2513.4,2213.67,32544.33,30160.84,174,14.4448275862069,0,0,9.75,"ARABA"
