"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
24037223,1,"CENTRO","G2","1","PRIVADO","MREGIONAL","5","HOMBRE","ESPANOL","N0",0,"SECUNDARIA1",9,8,"COMPLETA","INDEFINIDO",0,0,0,30,0,1800,40,0,0,31,6,0,6,0,1149.86,0,0,0,0,91.99,73.01,1149.86,12,0,6,0,6,0,6,0,6,0,13798.32,0,0,4,390.19,31,365,365,1149.86,1149.86,984.86,13798.32,13798.32,174,6.6083908045977,0,0,9.66666666666667,"LEON"
50007635,5,"NORESTE","M0","1","PRIVADO","MNACIONAL","1","MUJER","ESPANOL","O0",0,"PRIMARIA",4,10,"PARCIAL","INDEFINIDO",0,0,0,30,0,771,15,0,0,31,6,0,6,0,391.58,0,0,0,0,0,28.56,449.76,12,0,6,0,6,0,6,0,6,0,5054.32,698.16,0,5,2.2,31,365,365,391.58,391.58,363.02,5054.32,4356.16,65.25,6.00122605363985,1,1,4.83333333333333,"ZARAGOZA"
35015937,8,"CANARIAS","I0","2","PRIVADO","MUE","2","HOMBRE","ESPANOL","G0",0,"SECUNDARIA2",13,0,"COMPLETA","INDEFINIDO",0,0,0,30,0,1819,40,0,0,31,6,0,6,0,1253.5,0,0,16.73,0,273.75,102.99,1621.83,12,0,1,58,6,0,6,0,6,0,19059.47,2534.82,0,5,100.5,31,365,365,1270.23,1270.23,893.49,19059.47,16524.65,174,7.3001724137931,0,0,13,"LAS PALMAS"
50055266,14,"NORESTE","J0","2","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","D0",0,"FP",0,9,"COMPLETA","INDEFINIDO",0,0,20,0,2,1760,40,0,0,31,6,0,6,0,1514.96,0,0,211.36,0,266.4,131.05,2063.76,11,0,6,0,6,0,6,0,6,0,22981.41,0,141.104536489152,3,9.25,31,334.62,334.62,1726.32,1726.32,1328.87,25208.9864622557,25067.8819257665,174,9.92137931034483,0,0,0.75,"ZARAGOZA"
28364393,8,"MADRID","F0","2","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","K0",1,"BASICA",10,0,"COMPLETA","INDEFINIDO",0,0,0,31,9,1738,40,0,0,31,6,0,6,0,1456.18,0,0,0,0,0,109.96,1731.71,12,0,6,0,6,0,6,0,6,0,19174.84,3270.78,0,3,18.76,31,365,365,1456.18,1456.18,1346.22,19174.84,15904.06,174,8.36885057471264,0,0,10,"MADRID"
28087396,8,"MADRID","H1","3","PUBLICO","MNACIONAL","3","HOMBRE","ESPANOL","D0",1,"SECUNDARIA2",35,9,"COMPLETA","INDEFINIDO",0,0,0,35,6,1728,40,0,0,31,6,0,6,0,3240.68,0,0,438.84,0,746.79,206.19,3058.06,12,0,6,0,6,0,6,0,6,0,43955.45,0,391.01,5,108.91,31,365,365,3679.52,3679.52,2726.54,44346.46,43955.45,174,21.1466666666667,0,0,35.75,"MADRID"
8016690,7,"ESTE","C7","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","L0",0,"SECUNDARIA1",11,9,"COMPLETA","INDEFINIDO",0,0,28,0,4,1750,38,45,0,31,6,0,6,0,1199.25,0,0,161.83,0,163.33,99.63,1569.04,12,0,1,10,6,0,6,0,6,0,19210.74,2495.52,0,4,26.69,31,365,365,1361.08,1361.08,1098.12,19210.74,16715.22,168.5625,8.07463107156099,0,0,11.75,"BARCELONA"
31010525,6,"NORESTE","C4","1","PRIVADO","MNACIONAL","1","HOMBRE","ESPANOL","L0",0,"SECUNDARIA2",4,8,"COMPLETA","INDEFINIDO",0,0,30,0,0,1752,40,0,0,31,6,0,6,0,1112.25,0,0,80.14,0,97.54,75.71,1192.39,12,0,6,0,6,0,6,0,6,0,14351.68,1879.6,0,3,37.84,31,365,365,1192.39,1192.39,1019.14,14351.68,12472.08,174,6.85281609195402,0,0,4.66666666666667,"NAVARRA"
43063078,3,"ESTE","N0","2","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","O0",0,"SECUNDARIA1",7,1,"PARCIAL","INDEFINIDO",0,0,0,30,0,441,9,50,0,31,6,0,6,0,250.17,0,0,25.02,0,0,21.84,343.99,12,0,6,0,6,0,6,0,6,0,3620.28,724.05,0,6,148.08,31,365,365,275.19,275.19,253.35,3620.28,2896.23,42.775,6.43343074225599,1,1,7.08333333333333,"TARRAGONA"
25045469,6,"ESTE","G1","1","PRIVADO","MUE","2","HOMBRE","ESPANOL","P0",0,"SECUNDARIA1",0,6,"COMPLETA","TEMPORAL",0,0,14,0,0,1798,40,0,0,31,6,0,6,0,828.02,0,0,71.98,0,0,72.01,1125,8,2,6,0,6,0,6,0,6,0,8020,1130.58363221389,0,2,364.85,31,245.36,245.36,900,900,827.99,11930.6325399413,10800.0489077274,174,5.17241379310345,0,0,0.5,"LLEIDA"
37026580,7,"CENTRO","G2","2","PRIVADO","MREGIONAL","1","MUJER","ESPANOL","G0",0,"SECUNDARIA2",8,10,"PARCIAL","INDEFINIDO",0,0,0,31,0,899,20,0,0,31,6,0,6,0,513.2,0,0,177.01,6,0,49.82,784.61,12,0,6,0,6,0,6,0,6,0,8091.96,1060.82,0,4,43.26,31,365,365,690.21,690.21,640.39,8091.96,7031.14,87,7.93344827586207,1,1,8.83333333333333,"SALAMANCA"
