"salhora","trabaja","genero","edad","buscat","tiene_hijos","nac","parado","RGIrecep","sitlab","prov"
0,0,"Hombre",63,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",63,0,0,"espanola",0,0,"inactivo","Araba"
6.8181815,1,"Hombre",41,0,0,"espanola",0,0,"indefinido","Araba"
6.8181815,1,"Mujer",42,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",16,0,0,"espanola",0,0,"inactivo","Araba"
3.409091,1,"Mujer",47,0,0,"espanola",0,0,"autonomo","Araba"
2.6515152,1,"Hombre",47,0,0,"espanola",0,0,"autonomo","Araba"
0,0,"Hombre",20,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",63,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",51,1,1,"extranjero",1,0,"inactivo","Araba"
0,0,"Hombre",19,0,0,"extranjero",0,0,"inactivo","Araba"
0,0,"Hombre",61,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",59,0,0,"espanola",0,0,"inactivo","Araba"
12.121212,1,"Hombre",34,0,0,"espanola",0,0,"indefinido","Araba"
5.4450755,1,"Hombre",33,0,0,"espanola",0,0,"temporal","Araba"
0,0,"Mujer",44,1,1,"extranjero",1,1,"inactivo","Araba"
0,0,"Mujer",16,0,0,"extranjero",0,1,"inactivo","Araba"
10.281385,1,"Hombre",49,0,1,"espanola",0,0,"temporal","Araba"
23.880106,1,"Mujer",48,0,1,"espanola",0,0,"temporal","Araba"
8.333334,1,"Hombre",55,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",54,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",18,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",59,0,1,"extranjero",0,0,"inactivo","Araba"
0,0,"Hombre",18,0,0,"extranjero",0,0,"inactivo","Araba"
13.73106,1,"Hombre",56,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",51,0,1,"espanola",0,0,"inactivo","Araba"
11.363636,1,"Mujer",27,0,0,"espanola",0,0,"temporal","Araba"
13.73106,1,"Hombre",24,0,0,"espanola",0,0,"temporal","Araba"
5.909091,1,"Mujer",46,0,1,"espanola",0,0,"indefinido","Araba"
13.446969,1,"Hombre",42,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",58,0,0,"espanola",0,0,"inactivo","Araba"
6.818182,1,"Hombre",38,0,0,"espanola",0,0,"indefinido","Araba"
13.636364,1,"Mujer",31,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",62,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",50,0,0,"espanola",0,0,"autonomo","Araba"
18.181818,1,"Hombre",56,0,0,"espanola",0,0,"indefinido","Araba"
8.096591,1,"Mujer",59,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",25,1,0,"espanola",1,0,"inactivo","Araba"
7.6704545,1,"Mujer",53,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",54,1,0,"espanola",1,0,"inactivo","Araba"
6.3636365,1,"Hombre",42,0,0,"UE",0,0,"autonomo","Araba"
6.3636365,1,"Hombre",30,0,0,"UE",0,0,"autonomo","Araba"
5.4545455,1,"Hombre",34,0,0,"UE",0,0,"autonomo","Araba"
8.14394,1,"Hombre",46,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",35,1,1,"extranjero",1,1,"inactivo","Araba"
7.386364,1,"Mujer",28,1,0,"espanola",0,0,"temporal","Araba"
12.539772,1,"Hombre",61,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",60,0,0,"espanola",0,0,"inactivo","Araba"
6.818182,1,"Hombre",50,0,1,"extranjero",0,0,"autonomo","Araba"
5.965909,1,"Mujer",41,0,1,"extranjero",0,0,"indefinido","Araba"
0,0,"Mujer",21,0,0,"extranjero",0,0,"inactivo","Araba"
0,0,"Hombre",18,0,0,"extranjero",0,0,"inactivo","Araba"
0,0,"Mujer",43,0,1,"espanola",0,0,"inactivo","Araba"
13.73106,1,"Hombre",41,0,1,"espanola",0,0,"indefinido","Araba"
8.3116884,1,"Mujer",31,0,0,"espanola",0,0,"temporal","Araba"
8.806818,1,"Hombre",28,0,0,"UE",0,0,"temporal","Araba"
9.659091,1,"Hombre",48,0,1,"espanola",0,0,"indefinido","Araba"
12.66572,1,"Mujer",46,0,1,"espanola",0,0,"indefinido","Araba"
22.727274,1,"Hombre",41,0,0,"espanola",0,0,"indefinido","Araba"
11.363637,1,"Hombre",42,0,0,"espanola",0,0,"indefinido","Araba"
17.045454,1,"Mujer",41,0,0,"espanola",0,0,"indefinido","Araba"
12.626263,1,"Hombre",53,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",51,0,1,"espanola",0,0,"inactivo","Araba"
6.960227,1,"Hombre",24,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",19,0,0,"espanola",0,0,"inactivo","Araba"
7.2916665,1,"Mujer",50,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",57,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",17,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",37,0,1,"espanola",0,0,"inactivo","Araba"
11.931818,1,"Hombre",40,0,1,"espanola",0,0,"indefinido","Araba"
6.6287875,1,"Mujer",44,0,1,"espanola",0,0,"indefinido","Araba"
12.121212,1,"Hombre",50,0,0,"espanola",0,0,"indefinido","Araba"
15.909091,1,"Mujer",44,0,0,"espanola",0,0,"indefinido","Araba"
7.9545455,1,"Hombre",59,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",56,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",26,1,0,"espanola",1,0,"inactivo","Araba"
0,0,"Mujer",62,0,0,"espanola",0,0,"inactivo","Araba"
2.7972028,1,"Hombre",49,0,0,"espanola",0,0,"autonomo","Araba"
7.9545455,1,"Mujer",41,0,0,"espanola",0,0,"temporal","Araba"
0,0,"Hombre",57,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",56,0,1,"extranjero",0,0,"inactivo","Araba"
0,0,"Hombre",23,1,0,"extranjero",1,0,"inactivo","Araba"
0,0,"Mujer",58,1,0,"espanola",1,0,"inactivo","Araba"
17.743221,1,"Hombre",52,0,1,"espanola",0,0,"indefinido","Araba"
13.636363,1,"Mujer",49,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",24,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",17,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",60,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",48,0,0,"espanola",0,0,"inactivo","Araba"
6.8181815,1,"Hombre",39,0,1,"espanola",0,0,"indefinido","Araba"
10.60606,1,"Mujer",38,0,1,"espanola",0,0,"indefinido","Araba"
6.8181815,1,"Hombre",30,0,0,"extranjero",0,0,"indefinido","Araba"
0,0,"Mujer",19,0,0,"extranjero",0,0,"inactivo","Araba"
0,0,"Mujer",54,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",64,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",61,0,0,"espanola",0,0,"inactivo","Araba"
5.965909,1,"Hombre",46,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",49,1,1,"espanola",1,0,"inactivo","Araba"
11.136364,1,"Mujer",48,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",19,0,0,"espanola",0,0,"inactivo","Araba"
9.469697,1,"Mujer",45,0,1,"espanola",0,0,"indefinido","Araba"
14.204545,1,"Hombre",44,0,1,"espanola",0,0,"indefinido","Araba"
9.4155846,1,"Mujer",58,0,0,"espanola",0,0,"indefinido","Araba"
10.795455,1,"Hombre",60,0,0,"espanola",0,0,"indefinido","Araba"
9.469696,1,"Hombre",25,0,0,"espanola",0,0,"temporal","Araba"
5.681818,1,"Hombre",54,0,1,"espanola",0,0,"autonomo","Araba"
5.681818,1,"Mujer",52,0,1,"espanola",0,0,"indefinido","Araba"
5.1136365,1,"Hombre",24,0,0,"espanola",0,0,"temporal","Araba"
9.659091,1,"Hombre",62,0,1,"espanola",0,0,"indefinido","Araba"
12.973485,1,"Mujer",61,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",29,0,0,"espanola",0,0,"inactivo","Araba"
7.433712,1,"Mujer",33,0,0,"espanola",0,0,"indefinido","Araba"
11.931818,1,"Hombre",54,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",54,0,1,"espanola",0,0,"autonomo","Araba"
0,0,"Hombre",20,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",16,0,0,"espanola",0,0,"inactivo","Araba"
12.182636,1,"Hombre",48,0,1,"espanola",0,0,"indefinido","Araba"
15.151515,1,"Mujer",43,0,1,"espanola",0,0,"indefinido","Araba"
11.931818,1,"Hombre",56,0,1,"espanola",0,0,"indefinido","Araba"
10.60606,1,"Mujer",56,0,1,"espanola",0,0,"indefinido","Araba"
9.280303,1,"Mujer",28,0,0,"espanola",0,0,"indefinido","Araba"
9.943182,1,"Hombre",24,0,0,"espanola",0,0,"temporal","Araba"
0,0,"Hombre",37,0,1,"espanola",0,0,"autonomo","Araba"
3.6713288,1,"Mujer",38,0,1,"espanola",0,0,"indefinido","Araba"
11.26894,1,"Mujer",41,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",62,1,0,"espanola",1,0,"inactivo","Araba"
8.617424,1,"Mujer",47,0,1,"espanola",0,0,"temporal","Araba"
10.60606,1,"Hombre",45,0,1,"espanola",0,0,"indefinido","Araba"
17.045454,1,"Mujer",49,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",22,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",56,0,0,"espanola",0,0,"inactivo","Araba"
6.628788,1,"Hombre",46,1,0,"espanola",0,0,"temporal","Araba"
11.837121,1,"Hombre",44,0,0,"espanola",0,0,"indefinido","Araba"
9.943182,1,"Hombre",54,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",53,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",21,1,0,"espanola",1,0,"inactivo","Araba"
0,0,"Hombre",16,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",41,0,1,"espanola",0,0,"autonomo","Araba"
0,0,"Hombre",64,0,0,"espanola",0,0,"inactivo","Araba"
9.8661022,1,"Mujer",63,0,0,"espanola",0,0,"indefinido","Araba"
9.280303,1,"Hombre",54,1,1,"espanola",0,0,"temporal","Araba"
7.0707068,1,"Mujer",49,1,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",23,0,0,"espanola",0,0,"inactivo","Araba"
9.943182,1,"Hombre",45,0,1,"espanola",0,0,"temporal","Araba"
0,0,"Mujer",44,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",54,0,0,"espanola",0,0,"inactivo","Araba"
5.30303,1,"Mujer",43,0,1,"espanola",0,0,"indefinido","Araba"
13.920454,1,"Hombre",43,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",16,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",36,0,1,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",34,1,1,"espanola",1,0,"inactivo","Araba"
11.931818,1,"Hombre",39,0,0,"espanola",0,0,"indefinido","Araba"
5.681818,1,"Hombre",41,0,0,"espanola",0,0,"autonomo","Araba"
8.579545,1,"Hombre",50,0,0,"UE",0,0,"indefinido","Araba"
10.10101,1,"Hombre",53,0,1,"espanola",0,0,"autonomo","Araba"
15.151515,1,"Mujer",53,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",21,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",46,0,1,"espanola",0,0,"inactivo","Araba"
7.5757575,1,"Mujer",43,0,1,"espanola",0,0,"autonomo","Araba"
5.539773,1,"Mujer",55,0,0,"espanola",0,0,"indefinido","Araba"
8.285985,1,"Hombre",54,0,0,"espanola",0,0,"indefinido","Araba"
12.5,1,"Mujer",35,0,1,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",41,0,0,"espanola",0,0,"autonomo","Araba"
5.681818,1,"Hombre",31,0,0,"espanola",0,0,"autonomo","Araba"
5.681818,1,"Hombre",63,0,1,"espanola",0,0,"autonomo","Araba"
6.4935064,1,"Mujer",60,0,1,"espanola",0,0,"autonomo","Araba"
5.681818,1,"Hombre",36,0,0,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",32,1,0,"espanola",1,0,"inactivo","Araba"
5.681818,1,"Hombre",63,0,1,"espanola",0,0,"autonomo","Araba"
6.060606,1,"Mujer",51,0,1,"espanola",0,0,"autonomo","Araba"
7.9545455,1,"Hombre",27,0,0,"espanola",0,0,"temporal","Araba"
0,0,"Hombre",24,1,0,"espanola",1,0,"inactivo","Araba"
8.948864,1,"Hombre",58,0,0,"espanola",0,0,"indefinido","Araba"
8.219697,1,"Mujer",54,0,0,"espanola",0,0,"indefinido","Araba"
7.2916665,1,"Mujer",63,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",59,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",21,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",27,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",47,0,0,"UE",0,1,"indefinido","Araba"
0,0,"Mujer",24,1,1,"espanola",1,1,"inactivo","Araba"
7.7272725,1,"Mujer",29,1,1,"espanola",0,1,"temporal","Araba"
0,0,"Mujer",50,1,1,"extranjero",1,0,"inactivo","Araba"
0,0,"Hombre",63,0,0,"espanola",0,0,"inactivo","Araba"
11.26894,1,"Mujer",59,0,0,"espanola",0,0,"indefinido","Araba"
11.363636,1,"Hombre",55,0,0,"espanola",0,0,"autonomo","Araba"
11.363636,1,"Hombre",59,0,1,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",59,1,1,"espanola",0,0,"inactivo","Araba"
11.363636,1,"Hombre",31,0,0,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",52,0,0,"UE",0,0,"inactivo","Araba"
0,0,"Hombre",46,0,0,"UE",0,0,"inactivo","Araba"
7.689394,1,"Mujer",36,0,1,"espanola",0,0,"temporal","Araba"
13.257576,1,"Hombre",32,0,1,"espanola",0,0,"indefinido","Araba"
14.362372,1,"Hombre",31,0,0,"espanola",0,0,"indefinido","Araba"
7.9545455,1,"Hombre",41,0,0,"espanola",0,0,"autonomo","Araba"
6.628788,1,"Hombre",32,0,0,"espanola",0,0,"indefinido","Araba"
5.681818,1,"Mujer",29,0,0,"espanola",0,0,"obra","Araba"
6.960227,1,"Mujer",56,0,1,"espanola",0,0,"indefinido","Araba"
5.1136365,1,"Hombre",30,0,0,"espanola",0,0,"autonomo","Araba"
6.818182,1,"Hombre",61,0,1,"espanola",0,0,"autonomo","Araba"
6.818182,1,"Mujer",59,0,1,"espanola",0,0,"autonomo","Araba"
6.590909,1,"Hombre",21,0,0,"espanola",0,0,"obra","Araba"
0,0,"Mujer",62,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",53,1,1,"espanola",1,0,"inactivo","Araba"
