infid;genero;edad;anoscasado;hijos;religiosidad;educacion;ocupacion;valoracion
0;hombre;37;10;no;3;18;7;4
0;mujer;27;4;no;4;14;6;4
0;mujer;32;15;si;1;12;1;4
0;hombre;57;15;si;5;18;6;5
0;hombre;22;0.75;no;2;17;6;3
0;mujer;32;1.5;no;2;17;5;5
0;mujer;22;0.75;no;2;12;1;3
0;hombre;57;15;si;2;14;4;4
0;mujer;32;15;si;4;16;1;2
0;hombre;22;1.5;no;4;14;4;5
0;hombre;37;15;si;2;20;7;2
0;hombre;27;4;si;4;18;6;4
0;hombre;47;15;si;5;17;6;4
0;mujer;22;1.5;no;2;17;5;4
0;mujer;27;4;no;4;14;5;4
0;mujer;37;15;si;1;17;5;5
0;mujer;37;15;si;2;18;4;3
0;mujer;22;0.75;no;3;16;5;4
0;mujer;22;1.5;no;2;16;5;5
0;mujer;27;10;si;2;14;1;5
0;mujer;22;1.5;no;2;16;5;5
0;mujer;22;1.5;no;2;16;5;5
0;mujer;27;10;si;4;16;5;4
0;mujer;32;10;si;3;14;1;5
0;hombre;37;4;si;2;20;6;4
0;mujer;22;1.5;no;2;18;5;5
0;mujer;27;7;no;4;16;1;5
0;hombre;42;15;si;5;20;6;4
0;hombre;27;4;si;3;16;5;5
0;mujer;27;4;si;3;17;5;4
0;hombre;42;15;si;4;20;6;3
0;mujer;22;1.5;no;3;16;5;5
0;hombre;27;0.417;no;4;17;6;4
0;mujer;42;15;si;5;14;5;4
0;hombre;32;4;si;1;18;6;4
0;mujer;22;1.5;no;4;16;5;3
0;mujer;42;15;si;3;12;1;4
0;mujer;22;4;no;4;17;5;5
0;hombre;22;1.5;si;1;14;3;5
0;mujer;22;0.75;no;3;16;1;5
0;hombre;32;10;si;5;20;6;5
0;hombre;52;15;si;5;18;6;3
0;mujer;22;0.417;no;5;14;1;4
0;mujer;27;4;si;2;18;6;1
0;mujer;32;7;si;5;17;5;3
0;hombre;22;4;no;3;16;5;5
0;mujer;27;7;si;4;18;6;5
0;mujer;42;15;si;2;18;5;4
0;hombre;27;1.5;si;4;16;3;5
0;hombre;42;15;si;2;20;6;4
0;mujer;22;0.75;no;5;14;3;5
0;hombre;32;7;si;2;20;6;4
0;hombre;27;4;si;5;20;6;5
0;hombre;27;10;si;4;20;6;4
0;hombre;22;4;no;1;18;5;5
0;mujer;37;15;si;4;14;3;1
0;hombre;22;1.5;si;5;16;4;4
0;mujer;37;15;si;4;17;1;5
0;mujer;27;0.75;no;4;17;5;4
0;hombre;32;10;si;4;20;6;4
0;mujer;47;15;si;5;14;7;2
0;hombre;37;10;si;3;20;6;4
0;mujer;22;0.75;no;2;16;5;5
0;hombre;27;4;no;2;18;4;5
0;hombre;32;7;no;4;20;6;4
0;hombre;42;15;si;2;17;3;5
0;hombre;37;10;si;4;20;6;4
0;mujer;47;15;si;3;17;6;5
0;mujer;22;1.5;no;5;16;5;5
0;mujer;27;1.5;no;2;16;6;4
