"","CODERESP","weight.coefficient","Country","Country.code","DURINT","Date.of.interview","CATI/CAWI","Language","A1","A2_01","A2_02","A2_03","A2_04","A2_05","A3","Q00A","Q00B","Q00C_1","Q01","Q02","Q03_1","Q04_1","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16B_1","Q16B_2","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q18MODE","Q18_01","Q18_02","Q18_03","Q18_04","Q18_05","Q18_06","Q18_07","Q18_08","Q18_09","Q18_10","Q18_11","Q18_12","Q18_13","Q18@_13","Q18B","Q18C","Q18D","Q18E_1","Q18E_2","Q18E_3","Q18E_4","Q18E_5","Q18E_6","Q18E_7","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q20_01","Q20_02","Q20_03","Q20_04","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25NEW","coderesp"
"1",2389661,1866.72509501602,"Spain","ES",11.3,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",25,"18012","1","1",NA,"18012","8","1",3,1,"3","-1","4",1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,2,1,1,1,3,3,2,3,3,1,1,1,2,2,1,1,0,0,0,1,1,1,-1,-1,-1,-1,3,3,2389661
"2",2389662,2403.67770882695,"Spain","ES",5.78333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"2","2",55,"08027","1","1",NA,"08020","8","1",3,1,"3","-1","4",1,1,2,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,3,3,2,1,1,1,1,2,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,2389662
"3",2389663,11776.2150993865,"Spain","ES",11.7166666666667,"2021-04-04","CAWI","Spanish","2",NA,NA,NA,"-1",NA,"-1","1",63,"41008","7","-1",NA,NA,"3","1",4,4,"3","-1","4",3,0,3,0,1,2,1,2,2,2,2,1,1,2,-1,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,4,4,4,4,4,1,1,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2389663
"4",2389664,11654.7186188946,"Spain","ES",7.31666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",27,"46134","3","-1",NA,NA,"2","2",4,4,"5","-1","4",1,1,0,2,1,1,1,1,1,1,2,4,4,2,2,2,2,2,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,2,4,4,4,3,3,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2389664
"5",2389665,841.819547302049,"Spain","ES",15.9,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","1",67,"21005","7","-1",NA,NA,"6","1",5,1,"3","-1","4",2,1,2,0,2,1,1,2,2,1,1,2,5,-1,2,2,-1,-1,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,NA,2,1,1,4,4,3,1,1,2,1,1,1,2,2,2,0,0,1,0,2,3,-1,4,-1,-1,-1,-1,3,2389665
"6",2389666,2954.61644486174,"Spain","ES",12.25,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"2","2",43,"46191","1","1",NA,"46260","8","1",6,3,"3","-1","4",2,1,6,1,2,2,2,2,2,2,1,0,3,2,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,2,2,4,2,4,1,3,4,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,3,2389666
"7",2389667,2139.22324785429,"Spain","ES",5.13333333333333,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","1",43,"48007","1","1",NA,"48007","5","1",5,3,"3","-1","4",1,0,4,0,1,1,1,1,1,1,1,5,5,2,2,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,2,3,3,3,2,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2389667
"8",2389668,1167.27193730818,"Spain","ES",7.46666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",19,"19005","1","1",NA,"19005","6","1",3,3,"4","-1","4",2,0,1,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,2,4,2,4,4,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2389668
"9",2389669,2049.17592958566,"Spain","ES",9.5,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"0",NA,"-1","2",43,"08980","3","-1",NA,NA,"5","1",3,3,"5","-1","4",1,0,0,0,2,1,2,2,2,2,1,1,2,-1,2,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,2,4,4,4,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2389669
"10",2389670,1797.52168509663,"Spain","ES",6.06666666666667,"2021-04-04","CAWI","Spanish","2",NA,NA,NA,"-1",NA,"-1","1",32,"28009","1","1",NA,"28025","6","1",2,2,"2","-1","4",2,0,1,0,1,2,2,2,2,2,1,1,0,2,1,1,1,1,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,1,1,3,4,3,4,3,4,1,1,1,2,2,2,0,1,1,0,2,1,-1,4,-1,-1,-1,-1,4,2389670
"11",2389671,2455.83801838693,"Spain","ES",9.71666666666667,"2021-04-04","CAWI","Spanish","1",NA,NA,NA,"1",NA,"1","1",60,"41018","1","1",NA,"41013","8","1",4,4,"3","-1","4",1,0,1,0,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,NA,1,1,1,3,4,3,4,1,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,4,2389671
