obs,tiempo,infiel,valmat,edad,anoscas,hijos,relig,educ,ocmujer,ochombre
1,0.1111111,1,3,32,9,3,3,17,2,5
2,3.2307692,1,3,27,13,3,1,14,3,4
3,1.3999996,1,4,22,2.5,0,1,16,3,5
4,0.7272727,1,4,37,16.5,4,3,16,5,5
5,4.666666,1,5,27,9,1,1,14,3,4
6,4.666666,1,4,27,9,0,2,14,3,4
7,0.8521735,1,5,37,23,5.5,2,12,5,4
8,1.826086,1,5,37,23,5.5,2,12,2,3
9,4.7999992,1,3,22,2.5,0,2,12,3,3
10,1.333333,1,3,27,6,0,1,16,3,5
11,3.2666645,1,2,27,6,2,1,16,3,5
12,2.041666,1,5,27,6,2,3,14,3,5
13,0.4848484,1,3,37,16.5,5.5,1,12,2,3
14,2,1,5,27,6,0,2,14,3,2
15,3.2666645,1,4,22,6,1,1,14,4,4
16,1.3611107,1,4,37,9,2,2,14,3,6
17,2,1,4,27,6,1,1,12,3,5
18,1.826086,1,1,37,23,5.5,4,14,5,2
19,1.826086,1,2,42,23,2,2,20,4,4
20,2.041666,1,4,37,6,0,2,16,5,4
21,7.8399963,1,5,22,2.5,0,2,14,3,4
22,2.545454,1,3,37,16.5,5.5,2,9,3,2
23,0.5326087,1,3,42,23,5.5,3,12,5,4
24,0.6222222,1,2,27,9,2,4,20,3,4
25,0.5833333,1,4,27,6,1,2,12,5,4
26,4.7999992,1,5,27,2.5,0,3,16,4,1
27,0.1666666,1,2,27,6,2,2,12,2,5
28,0.6153846,1,5,37,13,1,3,12,3,4
29,1.1878777,1,2,32,16.5,2,2,12,4,2
30,11.1999989,1,3,27,6,1,1,14,3,6
31,1.1878777,1,3,32,16.5,4,3,14,5,5
32,2.1777763,1,3,27,9,2,1,14,3,4
33,0.4848484,1,3,37,16.5,3,3,14,3,2
34,0.7272727,1,4,32,16.5,5.5,4,12,2,4
35,0.7272727,1,5,42,16.5,4,3,16,4,6
36,1.333333,1,3,27,9,2,2,12,5,2
37,7,1,3,17.5,0.5,0,1,12,3,2
38,0.5217391,1,4,42,23,5.5,2,20,3,2
39,0.2121212,1,5,37,16.5,3,3,12,3,5
40,0.4,1,4,22,2.5,1,2,14,3,5
41,1.3999996,1,4,27,2.5,0,2,16,4,1
42,3.1999998,1,4,22,2.5,0,2,14,3,6
43,1.5076914,1,4,37,13,3,2,16,4,5
44,7.8399963,1,4,22,2.5,0,2,16,3,4
45,7.8399963,1,4,22,2.5,0,1,14,1,2
46,0.4,1,5,22,2.5,0,3,12,3,2
47,4.8999996,1,5,22,2.5,0,3,16,4,5
48,0.0434783,1,3,42,23,4,3,16,5,5
49,0.0769231,1,5,32,13,3,3,14,4,4
50,0.5833333,1,5,22,6,2,2,14,3,4
51,4.7999992,1,3,27,2.5,1,4,17,4,6
52,0.8521735,1,2,42,23,3,3,14,3,5
53,4.7999992,1,4,22,2.5,0,1,17,6,6
54,2.9217386,1,2,42,23,3,3,14,3,5
55,0.5217391,1,4,42,23,2,2,14,4,4
56,0.5326087,1,4,42,23,3,3,12,5,4
57,0.4848484,1,4,37,16.5,2,3,14,3,4
58,7.8399963,1,4,27,2.5,0,2,20,4,5
59,1.333333,1,2,32,9,2,2,12,2,2
60,1.5076914,1,4,42,13,0,1,14,3,4
61,1.333333,1,4,22,6,2,1,12,3,4
62,1.1878777,1,5,32,16.5,3,3,14,2,4
63,1.5076914,1,4,42,13,0,2,12,3,2
64,1.333333,1,5,27,9,1,3,14,5,5
65,7,1,5,22,6,2,2,12,2,5
66,0.7272727,1,2,27,16.5,2,3,16,4,5
67,1.5076914,1,5,37,13,2,1,12,3,4
68,2.041666,1,5,27,6,0,2,14,3,4
69,26.8799896,1,2,27,2.5,1,1,12,2,3
70,0.5326087,1,5,42,23,5.5,4,20,5,4
71,2,1,5,27,6,0,2,16,5,2
72,0.2121212,1,5,37,16.5,3,2,14,3,5
73,1.333333,1,2,32,9,2,2,16,3,5
74,2.545454,1,3,37,16.5,5.5,3,12,5,5
75,0.1666666,1,5,27,6,2,2,12,3,4
76,0.4848484,1,5,32,16.5,3,1,12,4,4
77,1.333333,1,5,27,9,2,1,14,5,1
78,0.4,1,4,22,2.5,0,2,16,5,5
79,0.4848484,1,5,32,16.5,2,4,14,5,2
80,0.1666666,1,2,22,6,2,2,14,2,5
81,1.5076914,1,3,32,13,3,1,12,4,5
82,0.0606061,1,5,32,16.5,3,2,12,3,4
83,2.041666,1,3,27,6,2,1,14,3,6
84,0.4,1,5,22,2.5,0,1,20,4,4
85,0.8888888,1,3,32,9,2,3,14,3,5
86,4.7999992,1,3,22,2.5,1,2,14,3,2
87,4.7999992,1,3,22,2.5,0,2,16,3,4
88,1.333333,1,5,27,9,2,1,16,4,6
89,0.1521739,1,3,42,23,2,2,12,2,2
90,1.1878777,1,3,37,16.5,3,2,17,3,2
91,0.9423077,1,5,32,13,2,2,12,2,6
92,1.5076914,1,1,27,13,2,2,12,4,4
93,0.4,1,5,27,2.5,0,2,14,3,2
94,0.1111111,1,5,27,9,0,1,14,4,4
95,0.9423077,1,5,32,13,2,2,16,3,3
96,0.3888888,1,4,27,9,2,2,14,3,5
97,4.8999996,1,3,22,2.5,1,3,14,5,4
98,0.5326087,1,2,37,23,2,2,12,5,5
99,2.041666,1,2,27,6,2,1,14,3,5
100,4.8999996,1,4,27,2.5,1,2,12,5,2
101,5.1692305,1,3,37,13,5.5,2,12,5,5
102,1.696969,1,5,37,16.5,4,1,12,3,6
103,1.3999996,1,5,22,2.5,0,1,14,3,5
104,0.0769231,1,4,42,13,0,1,14,5,5
105,2.1777763,1,5,27,9,1,1,14,5,5
106,1.3999996,1,4,22,2.5,0,1,14,3,4
107,7.8399963,1,4,22,2.5,1,2,14,5,4
108,0.5833333,1,4,27,6,2,3,16,4,6
109,2.7151508,1,2,32,16.5,1,2,14,3,5
110,0.9423077,1,3,27,13,2,1,14,3,4
111,7,1,4,22,0.5,0,2,12,3,2
112,3.2666645,1,5,27,6,1,1,16,4,3
113,4.666666,1,2,27,9,2,2,14,3,5
114,2.1777763,1,3,27,9,2,2,12,3,4
115,0.4848484,1,4,32,16.5,3,3,12,2,3
116,1.3999996,1,5,22,2.5,0,1,12,3,3
117,3.1999998,1,4,22,2.5,1,2,14,4,4
118,11.1999998,1,1,22,2.5,0,2,9,2,4
119,1.5076914,1,3,32,13,2,1,20,6,6
120,1.333333,1,5,32,9,1,2,14,3,5
121,1.3999996,1,5,27,2.5,0,1,20,6,4
122,0.3888888,1,4,27,9,2,2,14,2,5
123,2,1,4,27,6,0,3,12,5,2
124,4.8999996,1,2,22,2.5,0,3,14,3,2
125,1.3611107,1,3,27,9,2,3,17,4,6
126,2.041666,1,4,27,6,2,1,14,3,4
127,1.3999996,1,5,22,2.5,1,1,12,2,2
128,0.2121212,1,4,27,16.5,4,3,12,2,6
129,3.2666645,1,2,27,6,1,2,14,4,3
130,7.4666672,1,2,32,6,1,1,17,4,4
131,0.5833333,1,5,27,6,2,2,16,4,3
132,0.5217391,1,4,42,23,3,3,17,4,4
133,0.1111111,1,4,32,9,2,1,16,4,6
134,0.5217391,1,3,42,23,4,3,14,4,3
