"obs" "aptitud" "lectura" "mate" "programa"
"1" 1 352 34 40 "vocacional"
"2" 2 449 39 33 "vocacional"
"3" 3 648 63 48 "general"
"4" 4 501 44 41 "general"
"5" 5 762 47 43 "general"
"6" 6 658 47 46 "general"
"7" 7 800 57 59 "general"
"8" 8 613 39 52 "general"
"9" 9 531 48 52 "vocacional"
"10" 10 528 47 49 "academico"
"11" 11 584 34 45 "general"
"12" 12 610 37 45 "vocacional"
"13" 13 586 47 39 "vocacional"
"14" 14 769 47 54 "general"
"15" 15 402 39 44 "vocacional"
"16" 16 521 47 44 "vocacional"
"17" 17 478 47 48 "general"
"18" 18 629 50 49 "vocacional"
"19" 19 603 28 43 "academico"
"20" 20 633 60 57 "general"
"21" 21 724 44 61 "academico"
"22" 22 515 42 39 "vocacional"
"23" 23 748 65 64 "general"
"24" 24 634 52 66 "general"
"25" 25 630 47 42 "academico"
"26" 26 800 60 62 "general"
"27" 27 652 53 61 "general"
"28" 28 621 39 54 "academico"
"29" 29 683 52 49 "academico"
"30" 30 531 41 42 "general"
"31" 31 625 55 52 "academico"
"32" 32 605 50 66 "vocacional"
"33" 33 698 57 72 "general"
"34" 34 679 73 57 "general"
"35" 35 691 60 50 "academico"
"36" 36 612 44 44 "academico"
"37" 37 572 41 40 "vocacional"
"38" 38 625 45 50 "general"
"39" 39 734 66 67 "general"
"40" 40 551 42 43 "academico"
"41" 41 549 50 45 "general"
"42" 42 622 46 55 "vocacional"
"43" 43 557 47 43 "general"
"44" 44 678 47 45 "vocacional"
"45" 45 467 34 41 "vocacional"
"46" 46 631 45 44 "general"
"47" 47 625 47 49 "general"
"48" 48 584 57 52 "general"
"49" 49 485 50 39 "vocacional"
"50" 50 568 50 42 "academico"
"51" 51 593 42 42 "academico"
"52" 52 590 50 53 "general"
"53" 53 529 34 46 "vocacional"
"54" 54 661 47 46 "academico"
"55" 55 579 52 49 "general"
"56" 56 502 55 46 "vocacional"
"57" 57 794 71 72 "general"
"58" 58 529 55 40 "vocacional"
"59" 59 703 65 63 "general"
"60" 60 635 57 51 "general"
"61" 61 765 76 60 "general"
"62" 62 732 65 48 "academico"
"63" 63 537 52 60 "academico"
"64" 64 648 50 45 "vocacional"
"65" 65 667 55 66 "general"
"66" 66 576 68 56 "vocacional"
"67" 67 476 37 42 "vocacional"
"68" 68 797 73 71 "general"
"69" 69 548 44 40 "vocacional"
"70" 70 599 57 41 "academico"
"71" 71 766 57 56 "academico"
"72" 72 596 42 47 "vocacional"
"73" 73 716 50 53 "general"
"74" 74 661 57 50 "general"
"75" 75 548 60 51 "vocacional"
"76" 76 595 47 51 "general"
"77" 77 689 61 49 "general"
"78" 78 577 39 54 "general"
"79" 79 633 60 49 "general"
"80" 80 713 65 68 "general"
"81" 81 668 63 59 "general"
"82" 82 800 68 65 "general"
"83" 83 571 50 41 "vocacional"
"84" 84 636 63 54 "academico"
"85" 85 691 55 57 "academico"
"86" 86 682 44 54 "academico"
"87" 87 605 50 46 "academico"
"88" 88 618 68 64 "general"
"89" 89 522 35 40 "vocacional"
"90" 90 671 42 50 "general"
"91" 91 666 50 56 "vocacional"
"92" 92 739 52 57 "academico"
"93" 93 800 73 62 "general"
"94" 94 782 55 61 "general"
"95" 95 800 73 71 "general"
"96" 96 749 65 61 "general"
"97" 97 613 60 58 "general"
"98" 98 648 57 51 "vocacional"
"99" 99 640 47 56 "academico"
"100" 100 793 63 71 "general"
"101" 101 800 60 67 "general"
"102" 102 698 52 51 "general"
"103" 103 676 76 64 "general"
"104" 104 630 54 57 "general"
"105" 105 598 50 45 "general"
"106" 106 404 36 37 "vocacional"
"107" 107 629 47 47 "vocacional"
"108" 108 637 34 41 "academico"
"109" 109 574 42 42 "academico"
"110" 110 620 52 50 "vocacional"
"111" 111 622 39 39 "academico"
"112" 112 689 52 48 "general"
"113" 113 556 44 51 "general"
"114" 114 725 68 62 "general"
"115" 115 571 42 43 "academico"
"116" 116 681 57 54 "general"
"117" 117 565 34 39 "vocacional"
"118" 118 629 55 58 "academico"
"119" 119 584 42 45 "academico"
"120" 120 589 63 54 "general"
"121" 121 788 68 53 "vocacional"
"122" 122 779 52 58 "general"
"123" 123 605 68 56 "academico"
"124" 124 614 42 41 "vocacional"
"125" 125 768 68 58 "general"
"126" 126 715 42 57 "academico"
"127" 127 770 63 57 "general"
"128" 128 508 39 38 "general"
"129" 129 527 44 46 "academico"
"130" 130 685 43 55 "academico"
"131" 131 649 65 57 "general"
"132" 132 800 73 73 "general"
"133" 133 535 50 40 "vocacional"
"134" 134 474 44 39 "academico"
"135" 135 696 63 65 "general"
"136" 136 792 65 70 "general"
"137" 137 800 63 65 "general"
"138" 138 427 43 40 "vocacional"
"139" 139 800 68 61 "general"
"140" 140 399 44 40 "vocacional"
"141" 141 566 63 47 "vocacional"
"142" 142 523 47 52 "vocacional"
"143" 143 800 63 75 "vocacional"
"144" 144 712 60 58 "academico"
"145" 145 458 42 38 "vocacional"
"146" 146 688 55 64 "general"
"147" 147 619 47 53 "general"
"148" 148 565 42 51 "vocacional"
"149" 149 727 63 49 "academico"
"150" 150 554 42 57 "vocacional"
"151" 151 633 47 52 "vocacional"
"152" 152 687 55 56 "general"
"153" 153 665 39 40 "vocacional"
"154" 154 796 65 66 "general"
"155" 155 614 44 46 "academico"
"156" 156 618 50 53 "general"
"157" 157 733 68 58 "academico"
"158" 158 657 52 55 "academico"
"159" 159 592 55 54 "general"
"160" 160 746 55 55 "general"
"161" 161 800 57 72 "general"
"162" 162 702 57 40 "vocacional"
"163" 163 800 52 64 "general"
"164" 164 516 31 46 "vocacional"
"165" 165 604 36 54 "vocacional"
"166" 166 669 52 53 "general"
"167" 167 563 63 35 "academico"
"168" 168 695 52 57 "general"
"169" 169 779 55 63 "academico"
"170" 170 712 47 61 "general"
"171" 171 678 60 60 "general"
"172" 172 618 47 57 "general"
"173" 173 650 50 61 "academico"
"174" 174 750 68 71 "general"
"175" 175 454 36 42 "academico"
"176" 176 586 47 41 "general"
"177" 177 688 55 62 "general"
"178" 178 640 47 57 "vocacional"
"179" 179 609 47 60 "general"
"180" 180 800 71 69 "general"
"181" 181 662 50 45 "general"
"182" 182 462 44 43 "general"
"183" 183 591 63 49 "general"
"184" 184 496 50 53 "vocacional"
"185" 185 647 63 55 "general"
"186" 186 681 57 63 "general"
"187" 187 800 57 57 "academico"
"188" 188 796 63 56 "general"
"189" 189 669 47 63 "general"
"190" 190 661 47 54 "general"
"191" 191 567 47 43 "general"
"192" 192 800 65 63 "general"
"193" 193 666 44 48 "general"
"194" 194 800 63 69 "general"
"195" 195 727 57 60 "academico"
"196" 196 539 44 49 "general"
"197" 197 594 50 50 "general"
"198" 198 616 47 51 "general"
"199" 199 558 52 50 "general"
"200" 200 800 68 75 "general"
