"""obs"",""count"",""pesca"",""nopesca"",""cebovivo"",""acampada"",""personas"",""menores"",""xb"",""zg"""
"1,0,0,""1"",""0"",""0"",1,0,-0.896314561367035,3.0504047870636"
"2,0,0,""0"",""1"",""1"",1,0,-0.558344960212708,1.74614894390106"
"3,0,0,""0"",""1"",""0"",1,0,-0.401731014251709,0.279938876628876"
"4,0,0,""0"",""1"",""1"",2,1,-0.956298112869263,-0.601525664329529"
"5,1,1,""0"",""1"",""0"",1,0,0.436890959739685,0.527709126472473"
"6,0,0,""0"",""1"",""1"",4,2,1.39448547363281,-0.707534790039062"
"7,0,0,""0"",""1"",""0"",3,1,0.184716746211052,-3.39802217483521"
"8,0,0,""0"",""1"",""0"",4,3,2.32910656929016,-5.4509015083313"
"9,0,0,""1"",""0"",""1"",3,2,0.188386484980583,-1.52741777896881"
"10,1,1,""0"",""1"",""1"",1,0,0.287689924240112,1.39389050006866"
"11,0,0,""0"",""1"",""0"",4,1,1.99095273017883,-1.93318998813629"
"12,0,0,""0"",""1"",""1"",3,2,1.31789314746857,-2.47157454490662"
"13,1,1,""1"",""0"",""0"",3,0,0.298041671514511,1.5912652015686"
"14,2,2,""0"",""1"",""0"",3,0,1.29087340831757,0.829534888267517"
"15,0,0,""0"",""1"",""1"",1,0,-0.0608898401260376,2.82057929039001"
"16,1,1,""1"",""1"",""1"",1,0,0.370049208402634,2.15834498405457"
"17,0,0,""0"",""1"",""0"",4,1,1.97909343242645,-3.06995272636414"
"18,0,0,""1"",""1"",""1"",3,2,0.715337097644806,-1.95280492305756"
"19,1,1,""0"",""1"",""1"",2,1,1.51605308055878,-0.186567351222038"
"20,0,0,""0"",""1"",""0"",3,1,-0.0348959676921368,-0.118922494351864"
"21,1,1,""0"",""1"",""0"",4,1,1.17823028564453,0.00185656605754048"
"22,5,5,""0"",""1"",""1"",4,0,1.64211177825928,1.89282131195068"
"23,0,0,""0"",""1"",""1"",2,1,0.597727358341217,-0.294278144836426"
"24,3,3,""0"",""1"",""1"",2,0,1.13972306251526,1.93179106712341"
"25,30,30,""0"",""1"",""1"",3,0,3.50029754638672,1.45127081871033"
"26,0,0,""0"",""1"",""1"",2,0,-0.789978384971619,2.81744861602783"
"27,13,13,""0"",""1"",""1"",4,0,2.66235613822937,1.6565625667572"
"28,0,0,""0"",""1"",""0"",2,1,1.60617244243622,-1.06454253196716"
"29,0,0,""0"",""1"",""0"",1,0,0.0185501798987389,0.0807982683181763"
"30,0,0,""0"",""1"",""0"",4,3,3.03455901145935,-4.82404470443726"
"31,0,0,""0"",""1"",""0"",1,0,0.0510007552802563,0.921823859214783"
"32,0,0,""0"",""1"",""1"",3,1,0.745258808135986,-0.663867115974426"
"33,11,11,""0"",""1"",""1"",4,0,2.45313668251038,3.50836777687073"
"34,5,5,""0"",""1"",""1"",4,1,2.35270667076111,0.176609724760056"
"35,0,0,""0"",""1"",""1"",1,0,-1.10825753211975,0.772088408470154"
"36,1,1,""1"",""0"",""0"",2,0,0.51541942358017,1.65665757656097"
"37,1,1,""1"",""1"",""1"",2,1,1.98276853561401,-0.64223712682724"
"38,7,7,""1"",""1"",""1"",4,1,2.06685590744019,1.24450743198395"
"39,0,0,""1"",""1"",""1"",3,1,0.0950117707252502,-2.2686607837677"
"40,14,14,""0"",""1"",""1"",4,1,5.35267400741577,-1.47299253940582"
"41,0,0,""0"",""1"",""1"",1,0,-0.711813926696777,3.02047801017761"
"42,32,32,""0"",""1"",""1"",4,0,3.48404622077942,2.35565280914307"
"43,0,0,""1"",""0"",""0"",3,2,2.4009063243866,-3.0864737033844"
"44,1,1,""1"",""0"",""1"",4,0,0.376028478145599,2.6760778427124"
"45,0,0,""1"",""1"",""0"",4,2,1.08505642414093,-2.65479040145874"
"46,0,0,""0"",""1"",""1"",1,0,-1.06719875335693,2.13304495811462"
"47,0,0,""0"",""1"",""1"",2,1,0.322997063398361,0.303436487913132"
"48,1,1,""0"",""1"",""0"",1,0,0.501066327095032,1.55316162109375"
"49,5,5,""0"",""1"",""1"",2,1,2.01148843765259,0.627036452293396"
"50,0,0,""0"",""1"",""0"",2,1,0.957147359848022,-2.05817461013794"
"51,1,1,""0"",""1"",""1"",2,1,1.11443400382996,0.284732073545456"
"52,0,0,""0"",""1"",""1"",2,1,-0.673830032348633,-0.708101987838745"
"53,22,22,""0"",""1"",""1"",4,0,3.19670581817627,1.51548337936401"
"54,0,0,""1"",""0"",""0"",2,0,-0.386320799589157,2.07958793640137"
"55,15,15,""0"",""1"",""1"",3,0,2.7185115814209,2.62931299209595"
"56,0,0,""1"",""0"",""1"",1,0,-1.2692905664444,4.17959976196289"
"57,0,0,""0"",""1"",""1"",1,0,-1.08780598640442,2.12261295318604"
"58,0,0,""0"",""1"",""1"",1,0,-0.984578311443329,1.35152089595795"
"59,5,5,""1"",""1"",""1"",4,1,1.87246775627136,1.2611768245697"
"60,4,4,""1"",""1"",""1"",1,0,1.54795551300049,1.6289883852005"
"61,2,2,""0"",""1"",""0"",2,0,1.00409424304962,1.08362460136414"
"62,0,0,""0"",""1"",""1"",2,1,-0.165202617645264,2.09525036811829"
"63,2,2,""0"",""1"",""0"",2,1,1.47164523601532,-0.0734708979725838"
"64,32,32,""0"",""1"",""1"",4,0,3.48933601379395,2.54799747467041"
